what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1608189153963
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1608189153963
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1608189153963
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1608189153963
started,bundle,com.altera.sbtgui.integration,11.1.0.259,"com.altera.sbtgui.integration",1608189153979
started,bundle,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch",1608189153979
started,bundle,com.altera.sbtgui.project,11.1.0.259,"com.altera.sbtgui.project",1608189153979
started,bundle,com.altera.systemconsole,11.1.0.259,"com.altera.systemconsole",1608189153979
started,bundle,com.altera.utilities,11.1.0.259,"com.altera.utilities",1608189153979
os,sysinfo,,,"win32",1608189153979
arch,sysinfo,,,"x86",1608189153979
ws,sysinfo,,,"win32",1608189153979
locale,sysinfo,,,"en_US",1608189153979
processors,sysinfo,,,"8",1608189153979
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1608189153979
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1608189153979
java.specification.name,sysinfo,,,"Java Platform API Specification",1608189153979
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1608189153979
java.specification.version,sysinfo,,,"1.6",1608189153979
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1608189153979
java.version,sysinfo,,,"1.6.0_23",1608189153979
java.vm.info,sysinfo,,,"mixed mode",1608189153979
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1608189153979
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1608189153979
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1608189153979
java.vm.specification.version,sysinfo,,,"1.0",1608189153979
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1608189153979
java.vm.version,sysinfo,,,"19.0-b09",1608189153979
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1608189158507
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1608189173580
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1608189181842
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1608189186152
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1608189187173
